"X1","X2","X3","status","formatted_address","index","lat","long","accuracy"
NA,NA,NA,"OK","Dongcheng, Beijing, China",1,39.928353,116.416357,"political"
NA,NA,NA,"OK","Xicheng, Beijing, China",2,39.912288,116.365867,"political"
NA,NA,NA,"OK","Chaoyang, Beijing, China",3,39.921469,116.443107,"political"
NA,NA,NA,"OK","Fengtai, Beijing, China",4,39.858427,116.287149,"political"
NA,NA,NA,"OK","Shijingshan, Beijing, China",5,39.906611,116.222981,"political"
NA,NA,NA,"OK","Haidian, Beijing, China",6,39.959953,116.298326,"political"
NA,NA,NA,"OK","Mentougou, Beijing, China",7,39.940646,116.102009,"political"
NA,NA,NA,"OK","Fangshan, Beijing, China",8,39.749144,116.143267,"political"
NA,NA,NA,"OK","Tongzhou, Beijing, China",9,39.909946,116.656434,"political"
NA,NA,NA,"OK","Shunyi, Beijing, China",10,40.130347,116.65465,"political"
NA,NA,NA,"OK","Changping, Beijing, China",11,40.220659,116.231203,"political"
NA,NA,NA,"OK","Daxing, Beijing, China",12,39.726929,116.341395,"political"
NA,NA,NA,"OK","Huairou, Beijing, China",13,40.316304,116.631979,"political"
NA,NA,NA,"OK","Pinggu, Beijing, China",14,40.140701,117.121383,"political"
NA,NA,NA,"OK","Miyun, Beijing, China",15,40.376931,116.843066,"political"
NA,NA,NA,"OK","Yanqing, Beijing, China",16,40.456951,115.974848,"political"
NA,NA,NA,"OK","Heping, Tianjin, China",17,39.116949,117.21451,"political"
NA,NA,NA,"OK","Hedong, Tianjin, China",18,39.128291,117.251586,"political"
NA,NA,NA,"OK","Hexi, Tianjin, China",19,39.109563,117.223371,"political"
NA,NA,NA,"OK","Nankai, Tianjin, China",20,39.138202,117.150738,"political"
NA,NA,NA,"OK","Hebei, Tianjin, China",21,39.147869,117.196648,"political"
NA,NA,NA,"OK","Hongqiao, Tianjin, China",22,39.167345,117.151533,"political"
NA,NA,NA,"OK","Dongli, Tianjin, China",23,39.086569,117.314323,"political"
NA,NA,NA,"OK","Xiqing, Tianjin, China",24,39.141152,117.008826,"political"
NA,NA,NA,"OK","Jinnan, Tianjin, China",25,38.937928,117.35726,"political"
NA,NA,NA,"OK","Beichen, Tianjin, China",26,39.224791,117.135488,"political"
NA,NA,NA,"OK","Wuqing, Tianjin, China",27,39.384119,117.044387,"political"
NA,NA,NA,"OK","Baodi, Tianjin, China",28,39.717379,117.309863,"political"
NA,NA,NA,"OK","Binhai, Tianjin, China",29,39.00366,117.710496,"political"
NA,NA,NA,"OK","Ninghe, Tianjin, China",30,39.330087,117.826724,"political"
NA,NA,NA,"OK","Jinghai, Tianjin, China",31,38.947512,116.97413,"political"
NA,NA,NA,"OK","Jixian, Tianjin, China",32,40.04606,117.408306,"political"
NA,NA,NA,"OK","Chang'an, Shijiazhuang, Hebei, China",33,38.036347,114.539395,"political"
NA,NA,NA,"OK","Qiaoxi, Shijiazhuang, Hebei, China",34,38.004153,114.461066,"political"
NA,NA,NA,"OK","Xinhua, Shijiazhuang, Hebei, China",35,38.05106,114.463347,"political"
NA,NA,NA,"OK","Jingxing, Shijiazhuang, Hebei, China",36,38.065151,114.062062,"political"
NA,NA,NA,"OK","Yuhua, Shijiazhuang, Hebei, China",37,38.006452,114.531362,"political"
NA,NA,NA,"OK","Gaocheng, Shijiazhuang, Hebei, China",38,38.021567,114.847075,"political"
NA,NA,NA,"OK","Luquan, Shijiazhuang, Hebei, China",39,38.085958,114.313723,"political"
NA,NA,NA,"OK","Luancheng, Shijiazhuang, Hebei, China",40,37.900199,114.648318,"political"
NA,NA,NA,"OK","Jingxing, Shijiazhuang, Hebei, China",41,38.032148,114.14524,"political"
NA,NA,NA,"OK","Zhengding, Shijiazhuang, Hebei, China",42,38.146444,114.570941,"political"
